,type
2159,dfo
2160,dfo
2161,dfo
2162,solar
2163,solar
2164,solar
2165,solar
2166,solar
2167,solar
2168,wind
2169,wind
2170,dfo
2171,dfo
2172,dfo
2173,dfo
2174,dfo
2175,ng
2176,ng
2177,ng
2178,ng
2179,ng
2180,ng
2181,ng
2182,ng
2183,ng
2184,ng
2185,ng
2186,ng
2187,ng
2188,ng
2189,ng
2190,ng
2191,ng
2192,solar
2193,solar
2194,solar
2195,solar
2196,ng
2197,coal
2198,dfo
2199,dfo
2200,dfo
2201,ng
2202,ng
2203,ng
2204,dfo
2205,dfo
2206,dfo
2207,dfo
2208,dfo
2209,wind
2210,wind
2211,solar
2212,solar
2213,solar
2214,solar
2215,solar
2216,nuclear
2217,ng
2218,ng
2219,ng
2220,wind
2221,solar
2222,solar
2223,solar
2224,solar
2225,dfo
2226,dfo
2227,ng
2228,ng
2229,ng
2230,ng
2231,nuclear
2232,nuclear
2233,solar
2234,solar
2235,solar
2236,solar
2237,solar
2238,solar
2239,solar
2240,solar
2241,solar
2242,solar
2243,solar
2244,solar
2245,solar
2246,ng
2247,ng
2248,ng
2249,ng
2250,ng
2251,ng
2252,ng
2253,dfo
2254,dfo
2255,coal
2256,coal
2257,coal
2258,dfo
2259,ng
2260,ng
2261,ng
2262,ng
2263,ng
2264,hydro
2265,hydro
2266,hydro
2267,hydro
2268,hydro
2269,hydro
2270,dfo
2271,dfo
2272,dfo
2273,dfo
2274,dfo
2275,dfo
2276,dfo
2277,dfo
2278,dfo
2279,dfo
2280,dfo
2281,dfo
2282,dfo
2283,coal
2284,coal
